Time period and codes,"Furnishing, household equipment and routine HH maintenance","Furniture and furnishings, carpets and other floor coverings",Furniture and furnishings,Carpets and other floor coverings,"Repair of furniture, furnishings and floor coverings",Household textiles,Household appliances,Major appliances whether electrical or not,Small electric household appliances,Repair of household appliances,"Glassware, tableware and household utensils",Tools and equipment for house and garden,Major tools and equipment,Small tools and equipment,Goods and services for routine household maintenance,Non-durable household goods,Domestic and household services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COICOP identifier code,05,05.1,05.1.1,05.1.2,05.1.3,05.2,05.3,05.3.1,05.3.2,05.3.3,05.4,05.5,05.5.1,05.5.2,05.6,05.6.1,05.6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDID identifier code,ADFY,ADFZ,ADVM,ADVN,ADVO,ADGG,ADGL,ADVP,ADVQ,ADVR,ADGM,ADGN,ADVS,ADVT,ADGO,ADVU,ADVV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018 Q2,"15,421","5,637","4,594","1,035",8,"1,510","2,610","2,219",260,131,"1,549","1,407",168,"1,239","2,708","1,536","1,172",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018 Q3,"15,812","5,811","4,675","1,126",10,"1,568","2,208","1,721",332,155,"1,572","1,736",201,"1,535","2,917","1,642","1,275",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018 Q4,"18,249","6,702","5,532","1,160",10,"1,930","3,188","2,561",469,158,"1,947","1,727",182,"1,545","2,755","1,574","1,181",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019 Q1,"15,620","5,813","4,785","1,019",9,"1,512","2,367","1,862",372,133,"1,579","1,585",244,"1,341","2,764","1,600","1,164",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019 Q2,"16,467","6,122","4,998","1,114",10,"1,565","2,427","1,955",349,123,"1,698","1,661",220,"1,441","2,994","1,660","1,334",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019 Q3,"16,433","5,743","4,624","1,112",7,"1,578","2,717","1,969",626,122,"1,696","1,659",248,"1,411","3,040","1,724","1,316",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019 Q4,"18,293","6,654","5,578","1,072",4,"1,987","2,951","2,156",639,156,"2,059","1,711",176,"1,535","2,931","1,703","1,228",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020 Q1,"15,951","5,658","4,759",898,1,"1,559","2,532","2,093",336,103,"1,523","1,526",161,"1,365","3,153","2,062","1,091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020 Q2,"15,264","5,082","4,339",741,2,"1,357","2,800","2,560",132,108,"1,478","1,573",263,"1,310","2,974","2,258",716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020 Q3,"17,912","6,666","5,334","1,324",8,"1,892","2,787","2,230",415,142,"1,645","1,713",279,"1,434","3,209","1,992","1,217",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
